der Arzt / die Ärztin;el/la médico/a;;basic, health
das Krankenhaus;el hospital;;basic, health
die Apotheke;la farmacia;;basic, health
die Schmerzmittel;el analgésico;;basic, health
das Medikament;el medicamento;;basic, health
die Schmerzen;el dolor;;basic, health, body
der Rücken ;la espalda ;;basic, health, body
der Fuß;el pie;;basic, health, body
der Bauch;el vientre;;basic, health, body
das Bein;la pierna;;basic, health, body
der Kopf;la cabeza;;basic, health, body
die Hand;el mano;;basic, health, body
der Arm;el brazo;;basic, health, body
