bueno/a;hyvä;;basic, adjective
malo/a;huono;;basic, adjective
nuevo/a;uusi;;basic, adjective
viejo/a;vanha;;basic, adjective
joven;nuori;;basic, adjective
grande;iso;;basic, adjective
pequeño/a;pieni;;basic, adjective
bonito/a;kaunis;;basic, adjective
barato/a;halpa;;basic, adjective
caro/a;kallis;;basic, adjective
claro/a;tumma;;basic, adjective
brillante;valoisa;;basic, adjective
juntos/as;yhdessä;;basic, adjective
separado/a;erikseen;;basic, adjective
importante;tärkeä;;basic, adjective
cansado/a;väsynyt;;basic, adjective
